title,pageid_url_slug,revision_id,prose_word_count,url,source,date_fetched
Soara-Joye Ross,Soara-Joye_Ross,1319760669,1639,https://en.wikipedia.org/wiki/Soara-Joye_Ross?oldid=1319760669,Category:Articles containing suspected AI-generated texts from October 2025,2026-07-23 00:22:59
Societeit de Harmonie (musical group),Societeit_de_Harmonie_(musical_group),1364965125,584,https://en.wikipedia.org/wiki/Societeit_de_Harmonie_(musical_group)?oldid=1364965125,Category:Articles containing suspected AI-generated texts from July 2026,2026-07-23 00:23:00
Speed (1994 film),Speed_(1994_film),1365504002,3683,https://en.wikipedia.org/wiki/Speed_(1994_film)?oldid=1365504002,Category:Articles containing suspected AI-generated texts from November 2025,2026-07-23 00:23:01
Sumitomo Heavy Industries,Sumitomo_Heavy_Industries,1359531086,869,https://en.wikipedia.org/wiki/Sumitomo_Heavy_Industries?oldid=1359531086,Category:Articles containing suspected AI-generated texts from October 2025,2026-07-23 00:23:01
The Hollywood Standard,The_Hollywood_Standard,1362391199,376,https://en.wikipedia.org/wiki/The_Hollywood_Standard?oldid=1362391199,Category:Articles containing suspected AI-generated texts from July 2026,2026-07-23 00:23:02
Tian Rong,Tian_Rong,1364480343,478,https://en.wikipedia.org/wiki/Tian_Rong?oldid=1364480343,Category:Articles containing suspected AI-generated texts from July 2026,2026-07-23 00:23:02
Triple oppression,Triple_oppression,1321549341,2787,https://en.wikipedia.org/wiki/Triple_oppression?oldid=1321549341,Category:Articles containing suspected AI-generated texts from November 2025,2026-07-23 00:23:03
U Nārada,U_Nārada,1359363888,923,https://en.wikipedia.org/wiki/U_Nārada?oldid=1359363888,Category:Articles containing suspected AI-generated texts from September 2025,2026-07-23 00:23:04
Ulrich Köhler (director),Ulrich_Köhler_(director),1365514924,237,https://en.wikipedia.org/wiki/Ulrich_Köhler_(director)?oldid=1365514924,Category:Articles containing suspected AI-generated texts from July 2026,2026-07-23 00:23:04
University of San Pedro Sula,University_of_San_Pedro_Sula,1360887798,447,https://en.wikipedia.org/wiki/University_of_San_Pedro_Sula?oldid=1360887798,Category:Articles containing suspected AI-generated texts from September 2025,2026-07-23 00:23:05
Vaishno Devi Temple,Vaishno_Devi_Temple,1360542267,3400,https://en.wikipedia.org/wiki/Vaishno_Devi_Temple?oldid=1360542267,Category:Articles containing suspected AI-generated texts from January 2026,2026-07-23 00:23:06
WebMuseum,WebMuseum,1361807389,2445,https://en.wikipedia.org/wiki/WebMuseum?oldid=1361807389,Category:Articles containing suspected AI-generated texts from January 2026,2026-07-23 00:23:06
When Love Comes (2010 film),When_Love_Comes_(2010_film),1343374223,1297,https://en.wikipedia.org/wiki/When_Love_Comes_(2010_film)?oldid=1343374223,Category:Articles containing suspected AI-generated texts from October 2025,2026-07-23 00:23:07
Witte Swaen,Witte_Swaen,1361294090,401,https://en.wikipedia.org/wiki/Witte_Swaen?oldid=1361294090,Category:Articles containing suspected AI-generated texts from December 2025,2026-07-23 00:23:07
Yāmā (poetry collection),Yāmā_(poetry_collection),1356817678,1209,https://en.wikipedia.org/wiki/Yāmā_(poetry_collection)?oldid=1356817678,Category:Articles containing suspected AI-generated texts from April 2026,2026-07-23 00:23:08
